region,Avg_Fraud_Probability,Actual_Fraud_Rate,Transaction_Count
296.0_65.0,0.4268,0.6377,69
483.0_60.0,0.4056,0.5652,23
391.0_60.0,0.3591,0.4571,35
296.0_68.0,0.2585,0.1,10
479.0_96.0,0.2434,0.2308,13
432.0_96.0,0.2418,0.2895,38
431.0_60.0,0.2308,0.3421,38
239.0_60.0,0.1883,0.1935,31
171.0_96.0,0.1681,0.1667,12
161.0_60.0,0.1653,0.1948,421
216.0_60.0,0.1586,0.2407,54
426.0_96.0,0.1539,0.1562,32
296.0_43.0,0.1353,0.0,11
356.0_96.0,0.1298,0.1333,90
536.0_96.0,0.1256,0.1618,309
nan_nan,0.1168,0.1178,65706
296.0_32.0,0.1143,0.1017,59
511.0_60.0,0.112,0.0637,157
465.0_60.0,0.1053,0.0835,503
296.0_57.0,0.1029,0.0,10
374.0_60.0,0.0995,0.0714,14
130.0_60.0,0.0873,0.0848,342
332.0_60.0,0.0784,0.0,19
242.0_60.0,0.0759,0.0595,84
122.0_87.0,0.0701,0.0726,1612
508.0_60.0,0.0688,0.0429,70
348.0_96.0,0.064,0.0714,84
167.0_60.0,0.0631,0.0526,57
443.0_60.0,0.061,0.0,23
284.0_60.0,0.0589,0.0324,771
